name,image,price,category,stock
כוס שקופה מנצנצת 18 יח,7290019858171.jpg,12,hadpaami,1
כוס שתיה גבוהה,6951097100392.jpg,8,hadpaami,1
כוס שתיה זכוכית,6921817823757.jpg,7,hadpaami,1
כוס שתייה תרמית,7290121392983.jpg,45,hadpaami,1
כוס תרמי 850 מל,7290120167636.jpg,35,hadpaami,1
כוסות,680678033335.jpg,20,hadpaami,1
כוסות קפטן אמריקה,7290116248004.jpg,9,hadpaami,1
"HAPPY 40 כוסות
יח",7290015796286.jpg,8,hadpaami,1
כוסות אספרסו,7290016322422.jpg,8,hadpaami,1
כוסות בירה הנמל,835811001652.jpg,6,hadpaami,1
כוסות ורודות,7290014500594.jpg,10,hadpaami,1
כוסות זהב,7290015602525.jpg,10,hadpaami,1
כוסות זכוכית 4,7899658438425.jpg,12,hadpaami,1
כוסות חמות,7290113923577.jpg,5,hadpaami,1
כוסות יהלום 40 יח,7290015796972.jpg,6,hadpaami,1
כוסות יין,7290113924253.jpg,15,hadpaami,1
כוסות כסף,7290015122122.jpg,10,hadpaami,1
כוסות לחינה,6923538238452.jpg,7,hadpaami,1
כוסות מנייר במבוק הנמל,7290120320369.jpg,10,hadpaami,1
כוסות נייר 8,7290010960491.jpg,9,hadpaami,1
כוסות נייר דופן כפולה ועבה 12 oz,7290113925373.jpg,12,hadpaami,1
כוסות נייר דופן כפולה ועבה 8 OZ,7290113924925.jpg,10,hadpaami,1
כוסות נייר דופן כפולה ועבה 8 oz,7290113924918.jpg,10,hadpaami,1
"כוסות נייר חמות
8oz",7290113923584.jpg,5,hadpaami,1
